ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.277411,-0.071146,-0.153799,-0.931566,-2.803277,-0.119851,0.218042,0.734720,-0.642374
0.128949,-0.021055,-0.352978,-0.698125,-1.972988,0.052771,0.202533,0.740065,-0.641315
0.142273,0.025766,-0.274921,-0.456207,-1.153678,0.096192,0.192993,0.743628,-0.640133
0.114702,0.079149,-0.186788,-0.200203,-0.447496,0.112203,0.188643,0.745558,-0.639185
0.032528,0.091415,-0.066778,0.088653,-0.070852,0.125110,0.188160,0.745667,-0.639200
0.050997,0.074198,0.068329,0.370849,0.035968,0.160990,0.189085,0.743932,-0.640946
0.009515,0.053705,0.102153,0.576889,0.342421,0.178043,0.191474,0.740484,-0.644221
0.010801,-0.003738,0.017492,0.748865,0.913465,0.125673,0.196628,0.735915,-0.647894
0.078708,-0.040085,-0.037003,0.966362,0.995486,0.175765,0.204235,0.730011,-0.652206
0.113521,-0.055519,0.048887,1.110582,1.697975,0.307703,0.214589,0.722709,-0.656995
0.001112,-0.049256,-0.053731,1.418450,2.166925,0.432063,0.230333,0.713547,-0.661662
-0.067399,-0.037199,0.035803,1.725267,2.584104,0.515535,0.249406,0.701872,-0.667212
-0.051716,0.006663,-0.041108,2.015337,3.246470,0.543615,0.272786,0.687887,-0.672607
-0.071638,0.055991,-0.141396,2.307058,3.762070,0.614823,0.300551,0.671548,-0.677268
-0.179726,0.080349,-0.051228,2.532391,4.240592,0.785077,0.332513,0.652745,-0.680705
-0.276753,0.091453,0.009760,2.586979,4.728473,0.898341,0.368733,0.632088,-0.681543
-0.314683,0.075449,0.057239,2.161319,5.219934,0.925824,0.408464,0.611990,-0.677219
-0.350953,0.061480,0.247782,1.291246,5.447608,0.935532,0.450486,0.596326,-0.664423
-0.392349,0.034357,0.633963,0.639014,5.032663,0.799595,0.490371,0.585851,-0.645224
-0.422846,-0.043843,0.840314,-0.032010,4.580352,0.526835,0.524866,0.580449,-0.622571
-0.437856,-0.105145,0.744572,-0.774360,4.374920,0.213181,0.554403,0.580914,-0.595967
-0.473894,-0.131414,0.624302,-1.478341,4.251637,-0.109470,0.579912,0.587194,-0.564717
-0.502635,-0.135236,0.600967,-2.106884,4.159298,-0.491868,0.601253,0.598859,-0.529021
-0.474528,-0.111696,0.545230,-2.644361,4.009774,-0.829150,0.618159,0.615129,-0.489383
-0.505048,-0.009636,0.481568,-3.072795,3.756816,-1.153111,0.630247,0.634834,-0.446961
-0.535652,0.103595,0.392764,-3.347466,3.529356,-1.490270,0.637215,0.657025,-0.402835
-0.532228,0.176409,0.252762,-3.382256,3.432705,-1.808511,0.639360,0.680585,-0.357803
-0.513597,0.209493,0.093273,-3.172518,3.558269,-2.042881,0.637651,0.704066,-0.312557
-0.514345,0.252026,-0.087279,-2.762834,3.952806,-2.267930,0.633043,0.726535,-0.267213
-0.509893,0.265891,-0.222331,-2.183925,4.399667,-2.569650,0.625403,0.747964,-0.222310
-0.493055,0.247195,-0.236411,-1.491930,4.793487,-2.882470,0.613874,0.768690,-0.179651
-0.479777,0.260545,-0.226972,-0.864523,5.242952,-3.170645,0.598170,0.789062,-0.139910
-0.445751,0.291852,-0.266956,-0.410629,5.662249,-3.390317,0.578396,0.809283,-0.102566
-0.399941,0.322665,-0.252455,-0.127971,5.920334,-3.538183,0.554756,0.829282,-0.067354
-0.342117,0.365861,-0.191183,0.015249,5.989923,-3.627602,0.527542,0.848830,-0.034449
-0.279194,0.418291,-0.130340,0.066492,5.904142,-3.690192,0.497090,0.867689,-0.004120
-0.209495,0.428693,-0.075774,0.064722,5.491367,-3.764363,0.463691,0.885699,0.022979
-0.121729,0.415048,0.077244,-0.056684,4.842344,-3.808300,0.427805,0.902701,0.045971
-0.029830,0.444582,0.130607,-0.283795,4.390658,-3.758416,0.390502,0.918196,0.066521
0.021271,0.463903,0.019211,-0.433799,3.871708,-3.676400,0.352767,0.931803,0.085434
0.103751,0.425042,0.075580,-0.486800,3.190670,-3.626846,0.314996,0.943626,0.101728
0.198668,0.384439,0.120890,-0.443212,2.488308,-3.549372,0.277635,0.953818,0.114675
0.238373,0.355128,0.070372,-0.367791,1.814645,-3.392121,0.241546,0.962407,0.124208
0.298883,0.343562,0.058666,-0.270540,1.212810,-3.167370,0.207725,0.969411,0.130741
0.342980,0.328303,0.034275,-0.183820,0.619556,-2.917674,0.176735,0.974996,0.134717
0.357497,0.295624,0.026663,-0.142705,0.038624,-2.657856,0.148897,0.979340,0.136835
0.357043,0.271338,0.037665,-0.137471,-0.481684,-2.442644,0.124082,0.982645,0.137888
0.347032,0.234722,0.042485,-0.176700,-0.979962,-2.287639,0.101729,0.985111,0.138591
0.342788,0.196559,0.054479,-0.234093,-1.437297,-2.150667,0.081406,0.986867,0.139521
0.326789,0.187156,0.077031,-0.282275,-1.798604,-2.016412,0.063012,0.988015,0.140911
