ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.025395,-0.050431,0.057305,0.140007,0.211106,0.026909,-0.041499,0.021394,-0.998909
-0.026758,-0.043002,0.069396,0.080973,0.231985,0.028298,-0.039267,0.020298,-0.999023
-0.027476,-0.043402,0.089717,0.035160,0.239946,0.031369,-0.036870,0.019736,-0.999125
-0.027692,-0.039707,0.116505,0.003232,0.213405,0.027676,-0.034564,0.019566,-0.999211
-0.024242,-0.033813,0.143360,-0.003614,0.144571,0.012974,-0.032750,0.019592,-0.999272
-0.020881,-0.024601,0.160241,0.016500,0.062703,-0.008623,-0.031701,0.019535,-0.999306
-0.017776,-0.017244,0.164862,0.027940,-0.007675,-0.025658,-0.031434,0.019289,-0.999320
-0.011551,-0.012484,0.167370,0.001542,-0.075435,-0.037032,-0.031860,0.019107,-0.999310
-0.008218,-0.006921,0.178544,-0.084347,-0.135308,-0.044997,-0.032919,0.019464,-0.999268
-0.003550,-0.006711,0.185035,-0.214994,-0.189513,-0.045494,-0.034582,0.020933,-0.999183
-0.003135,-0.010517,0.173196,-0.357639,-0.203923,-0.041231,-0.036599,0.023777,-0.999047
-0.001068,-0.025180,0.140051,-0.526699,-0.168327,-0.031522,-0.038498,0.028186,-0.998861
0.002383,-0.042406,0.093883,-0.735942,-0.115399,-0.009400,-0.039920,0.034502,-0.998607
0.009295,-0.056729,0.057928,-0.999723,-0.143962,0.029349,-0.041125,0.043180,-0.998221
0.023586,-0.066297,0.028350,-1.260255,-0.284912,0.058810,-0.043208,0.054593,-0.997573
0.028933,-0.065637,-0.069823,-1.397925,-0.514163,0.050136,-0.047137,0.068048,-0.996568
0.025658,-0.083208,-0.222111,-1.419490,-0.770898,-0.011330,-0.053566,0.082216,-0.995174
-0.008175,-0.082597,-0.411599,-1.384700,-1.036748,-0.111669,-0.062657,0.096238,-0.993384
-0.060608,0.000966,-0.637114,-1.288119,-1.190129,-0.208358,-0.074005,0.109508,-0.991227
-0.110609,0.133887,-0.888734,-1.071343,-1.310506,-0.257846,-0.086763,0.121195,-0.988830
-0.135828,0.293412,-1.141352,-0.532265,-1.179988,-0.287340,-0.099737,0.129181,-0.986593
-0.142060,0.358063,-1.519890,0.454039,-0.595630,-0.319847,-0.109237,0.129517,-0.985542
-0.115870,0.340366,-1.898798,1.760461,0.331352,-0.346272,-0.111090,0.118283,-0.986746
-0.109274,0.338674,-1.988222,3.010210,1.154700,-0.334639,-0.103846,0.094005,-0.990141
-0.114334,0.403215,-1.658204,3.828893,1.676847,-0.218756,-0.089874,0.059309,-0.994186
-0.115765,0.485741,-1.182544,4.250432,2.050634,0.001965,-0.071109,0.018532,-0.997296
-0.137931,0.535696,-0.680615,4.314785,2.197230,0.193805,-0.049676,-0.024618,-0.998462
-0.139112,0.485460,-0.179560,4.138932,2.181418,0.312901,-0.027712,-0.067033,-0.997366
-0.151604,0.384443,0.271265,3.884535,1.903531,0.315122,-0.007316,-0.107191,-0.994212
-0.166641,0.271187,0.746640,3.589354,1.257564,0.172678,0.008362,-0.144508,-0.989468
-0.136467,0.111782,1.196113,3.256110,0.410225,-0.075938,0.016564,-0.178493,-0.983802
-0.096536,-0.036141,1.475013,2.874090,-0.157059,-0.327762,0.017907,-0.208747,-0.977806
-0.069945,-0.081631,1.483812,2.378357,-0.200659,-0.452398,0.016768,-0.234500,-0.971971
-0.049859,-0.016994,1.397818,1.765676,-0.000387,-0.456323,0.016885,-0.254674,-0.966880
-0.006576,0.042785,1.425040,1.112877,0.162004,-0.386700,0.018860,-0.268554,-0.963080
0.043918,0.071343,1.521824,0.513823,0.141572,-0.278867,0.021374,-0.276298,-0.960834
0.088480,0.078009,1.602547,0.051644,-0.069569,-0.174790,0.022451,-0.278891,-0.960060
0.100561,0.070485,1.609923,-0.299480,-0.379112,-0.095398,0.020685,-0.277638,-0.960463
0.089217,0.079345,1.547402,-0.659451,-0.626219,0.013182,0.015840,-0.273024,-0.961877
0.077635,0.126417,1.409511,-1.094237,-0.737693,0.159188,0.008974,-0.264585,-0.964321
0.054720,0.176485,1.242031,-1.595696,-0.817878,0.281155,0.000822,-0.251543,-0.967846
0.024865,0.202359,1.064937,-2.088487,-0.819000,0.380445,-0.008019,-0.233532,-0.972316
-0.005057,0.223822,0.833580,-2.521325,-0.753019,0.434479,-0.016703,-0.210836,-0.977379
-0.018952,0.204369,0.592505,-2.828985,-0.642713,0.441749,-0.024429,-0.184304,-0.982566
-0.020259,0.161368,0.383431,-3.020455,-0.573712,0.389642,-0.031194,-0.155112,-0.987404
-0.017814,0.125468,0.195125,-3.036470,-0.525633,0.316865,-0.037102,-0.124736,-0.991496
-0.011481,0.107155,0.022908,-2.870041,-0.537452,0.230745,-0.042734,-0.095024,-0.994557
-0.018033,0.091828,-0.133146,-2.592176,-0.509847,0.132638,-0.048144,-0.067551,-0.996554
-0.027419,0.099171,-0.290803,-2.254847,-0.493748,0.053207,-0.053224,-0.043171,-0.997649
-0.027783,0.114796,-0.403763,-1.894472,-0.474821,0.019263,-0.058078,-0.022343,-0.998062
