ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.049095,-0.070496,-0.145820,-0.009249,0.104045,0.306119,-0.072350,0.153398,-0.985512
-0.054410,-0.065660,-0.111999,-0.001254,0.071749,0.256818,-0.071033,0.153673,-0.985565
-0.060073,-0.063038,-0.090401,0.042244,0.034377,0.208843,-0.070146,0.153645,-0.985633
-0.063221,-0.057781,-0.071154,0.087191,0.000057,0.166478,-0.069683,0.153133,-0.985746
-0.060271,-0.051473,-0.052501,0.120468,-0.041143,0.133770,-0.069658,0.152212,-0.985890
-0.054768,-0.049152,-0.037458,0.148067,-0.071042,0.113430,-0.070034,0.150959,-0.986056
-0.048225,-0.047817,-0.028715,0.145893,-0.094542,0.090884,-0.070702,0.149548,-0.986223
-0.041562,-0.047728,-0.015807,0.109498,-0.111843,0.073458,-0.071613,0.148314,-0.986344
-0.039576,-0.048853,-0.004427,0.037249,-0.122147,0.051779,-0.072683,0.147608,-0.986372
-0.038978,-0.049303,0.008322,-0.062421,-0.148566,0.032504,-0.073952,0.147738,-0.986258
-0.039519,-0.046859,0.027466,-0.197845,-0.223625,0.019060,-0.075716,0.149016,-0.985932
-0.038971,-0.047581,0.056004,-0.386792,-0.324776,-0.002927,-0.078445,0.151890,-0.985280
-0.030602,-0.050225,0.062873,-0.614366,-0.481316,-0.015680,-0.082405,0.156823,-0.984183
-0.012220,-0.054558,0.047529,-0.827024,-0.690549,-0.042496,-0.088244,0.163963,-0.982512
0.003719,-0.059565,-0.010150,-0.940202,-0.906205,-0.070613,-0.096188,0.172694,-0.980268
0.003932,-0.039820,-0.082997,-0.981786,-1.200993,-0.121003,-0.106715,0.182093,-0.977473
-0.022594,-0.007805,-0.171835,-0.960235,-1.416574,-0.236960,-0.120030,0.191476,-0.974130
-0.105108,0.039903,-0.366166,-0.862633,-1.408221,-0.429544,-0.134577,0.200027,-0.970504
-0.184198,0.098880,-0.600686,-0.613919,-1.253033,-0.685038,-0.148841,0.206555,-0.967048
-0.206963,0.141333,-0.862461,-0.054627,-0.805069,-0.906486,-0.160682,0.208780,-0.964672
-0.213917,0.191780,-1.165492,0.866391,-0.182141,-1.039013,-0.167537,0.203423,-0.964650
-0.180844,0.253460,-1.339602,2.075615,0.375965,-1.084041,-0.168674,0.187474,-0.967679
-0.101749,0.326028,-1.318640,3.398741,0.794821,-0.997451,-0.164730,0.158972,-0.973443
-0.039394,0.422578,-1.156632,4.602857,1.037746,-0.773282,-0.156910,0.118072,-0.980530
0.002731,0.516559,-0.912738,5.528934,1.244775,-0.477090,-0.146224,0.066755,-0.986997
0.020295,0.578783,-0.651140,6.058618,1.454678,-0.152846,-0.132951,0.008390,-0.991087
0.008040,0.631944,-0.383721,6.174283,1.741705,0.154892,-0.117156,-0.052857,-0.991706
-0.005895,0.644913,-0.160015,5.963252,2.115289,0.499761,-0.098216,-0.113144,-0.988712
-0.045478,0.651491,0.064430,5.524188,2.393260,0.816199,-0.076669,-0.169634,-0.982520
-0.080255,0.611589,0.358362,4.948653,2.338962,0.987528,-0.054923,-0.220628,-0.973810
-0.107747,0.484739,0.740529,4.238192,1.895005,0.906918,-0.036449,-0.265027,-0.963552
-0.100593,0.280854,1.101660,3.434702,1.186843,0.612261,-0.023690,-0.301773,-0.953085
-0.063496,0.051890,1.352711,2.636954,0.409935,0.220411,-0.017421,-0.330607,-0.943608
-0.004146,-0.122489,1.474530,1.896348,-0.226532,-0.108656,-0.016835,-0.351998,-0.935849
0.039635,-0.170548,1.476975,1.151169,-0.602004,-0.265054,-0.020195,-0.366363,-0.930253
0.055016,-0.117574,1.397241,0.347242,-0.604880,-0.242713,-0.025078,-0.373438,-0.927316
0.061370,-0.028605,1.257791,-0.473804,-0.329764,-0.109083,-0.028854,-0.372900,-0.927423
0.057540,0.034252,1.153896,-1.276350,0.006638,0.052552,-0.030242,-0.364711,-0.930630
0.053391,0.053196,1.114822,-2.007143,0.231588,0.203269,-0.029480,-0.349201,-0.936584
0.046909,0.039392,1.114020,-2.639503,0.276392,0.289086,-0.027820,-0.327081,-0.944587
0.022328,0.021701,1.087638,-3.146153,0.165917,0.284526,-0.026555,-0.299304,-0.953788
-0.010600,0.001311,1.027527,-3.529067,-0.017274,0.211643,-0.026495,-0.266996,-0.963333
-0.042393,-0.016867,0.928165,-3.837204,-0.302202,0.082273,-0.028377,-0.231073,-0.972523
-0.063006,-0.013459,0.810401,-4.090014,-0.631564,-0.109568,-0.032957,-0.192077,-0.980826
-0.072415,0.015663,0.627832,-4.219795,-0.888027,-0.287352,-0.040225,-0.150932,-0.987725
-0.099785,0.084081,0.390809,-4.190216,-0.975604,-0.429586,-0.049156,-0.109105,-0.992814
-0.136736,0.147472,0.122401,-4.005762,-0.835701,-0.497369,-0.057936,-0.068294,-0.995982
-0.136317,0.217660,-0.114554,-3.736980,-0.607430,-0.525963,-0.064931,-0.029763,-0.997446
-0.094868,0.263849,-0.291092,-3.386871,-0.380863,-0.524260,-0.069820,0.005698,-0.997543
-0.047787,0.274785,-0.449811,-2.881868,-0.163681,-0.473373,-0.072635,0.036876,-0.996677
