ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.198601,0.467894,-0.605971,6.287994,1.762924,0.509010,-0.733421,-0.111616,-0.670548
-0.159102,0.509342,-0.529577,6.995068,1.630693,0.497169,-0.722490,-0.152821,-0.674281
-0.136067,0.579321,-0.327691,7.755590,1.377854,0.482012,-0.713191,-0.199270,-0.672049
-0.165183,0.693063,-0.120794,8.379734,1.373918,0.540734,-0.705239,-0.249994,-0.663431
-0.230967,0.797360,0.005941,8.627567,1.685905,0.653955,-0.696859,-0.302182,-0.650442
-0.264846,0.809911,0.153526,8.411220,1.920355,0.736012,-0.687394,-0.352590,-0.634956
-0.248846,0.686569,0.400335,7.763296,1.836830,0.701168,-0.678187,-0.398682,-0.617346
-0.156596,0.434386,0.668880,6.798458,1.502582,0.407902,-0.670324,-0.439406,-0.597987
-0.000845,0.085281,0.863771,5.664739,1.144093,-0.139934,-0.663187,-0.475327,-0.578142
0.141629,-0.218750,0.951282,4.523109,0.973688,-0.671416,-0.655133,-0.507233,-0.559925
0.201780,-0.308100,0.943050,3.419482,0.947143,-0.938052,-0.645490,-0.534688,-0.545390
0.147799,-0.166226,0.949777,2.304510,0.980670,-0.940188,-0.635058,-0.556385,-0.535852
0.116766,0.026373,0.958709,1.191337,1.212410,-0.785891,-0.624319,-0.571264,-0.532806
0.149004,0.103300,0.902343,0.139983,1.598117,-0.595360,-0.612795,-0.579100,-0.537704
0.117848,0.094166,0.866941,-0.823741,1.954634,-0.435206,-0.600041,-0.580326,-0.550611
0.091143,0.044363,0.851938,-1.617578,2.184498,-0.284229,-0.586199,-0.575536,-0.570200
0.089686,-0.002704,0.841948,-2.348090,2.182711,-0.156345,-0.572123,-0.565167,-0.594359
0.061681,-0.031696,0.912666,-3.012619,2.045955,-0.100745,-0.558431,-0.549450,-0.621498
0.046617,-0.050204,0.911095,-3.642063,1.731323,-0.120596,-0.545732,-0.528730,-0.650093
0.040665,-0.080507,0.884757,-4.204283,1.341319,-0.177706,-0.534698,-0.503264,-0.678840
0.020248,-0.092716,0.838981,-4.696075,0.967677,-0.248358,-0.525634,-0.473355,-0.706855
0.003403,-0.078948,0.769290,-5.153995,0.641268,-0.321340,-0.518524,-0.439149,-0.733676
-0.010152,-0.044057,0.691984,-5.610195,0.320974,-0.437860,-0.513316,-0.400675,-0.758924
-0.009840,-0.008882,0.575112,-5.994483,-0.058368,-0.607873,-0.510301,-0.358321,-0.781792
-0.027955,0.032038,0.439463,-6.184518,-0.420533,-0.805649,-0.509872,-0.313333,-0.801157
